t,output
1.22,1.0979557
1.221,1.098638
1.222,1.0993179
1.223,1.0999953
1.224,1.1006702
1.225,1.1013427
1.226,1.1020126
1.227,1.1026802
1.228,1.1033453
1.229,1.1040078
1.23,1.1046679
1.231,1.1053256
1.232,1.1059808
1.233,1.1066334
1.234,1.1072836
1.235,1.1079313
1.2360001,1.1085765
1.237,1.1092193
1.238,1.1098596
1.239,1.1104974
1.24,1.1111326
1.2409999,1.1117654
1.242,1.1123956
1.243,1.1130234
1.244,1.1136487
1.245,1.1142714
1.246,1.1148916
1.247,1.1155094
1.248,1.1161246
1.249,1.1167375
1.25,1.1173477
1.2509999,1.1179554
1.252,1.1185607
1.253,1.1191634
1.254,1.1197636
1.255,1.1203613
1.256,1.1209565
1.257,1.1215492
1.258,1.1221395
1.2590001,1.1227272
1.26,1.1233124
1.261,1.123895
1.262,1.1244752
1.263,1.1250528
1.2639999,1.1256279
1.265,1.1262004
1.266,1.1267705
1.267,1.127338
1.268,1.1279031
1.269,1.1284655
1.27,1.1290255
1.271,1.1295829
1.2720001,1.1301378
1.273,1.1306902
1.2739999,1.13124
1.275,1.1317873
1.276,1.1323321
1.277,1.1328744
1.278,1.133414
1.279,1.1339512
1.28,1.1344858
1.281,1.1350179
1.2820001,1.1355474
1.283,1.1360744
1.284,1.136599
1.285,1.1371208
1.286,1.1376402
1.287,1.1381571
1.288,1.1386714
1.289,1.1391832
1.29,1.1396924
1.291,1.1401991
1.292,1.1407032
1.293,1.1412048
1.294,1.1417038
1.295,1.1422004
1.296,1.1426944
1.2969999,1.1431857
1.298,1.1436746
1.299,1.1441609
1.3,1.1446446
1.301,1.1451259
1.302,1.1456045
1.303,1.1460806
1.304,1.1465541
1.3050001,1.1470251
1.306,1.1474936
1.307,1.1479595
1.308,1.1484228
1.309,1.1488836
1.31,1.1493418
1.311,1.1497974
1.312,1.1502506
1.313,1.1507012
1.314,1.1511492
1.315,1.1515946
1.316,1.1520375
1.317,1.1524779
1.318,1.1529156
1.319,1.1533508
1.3199999,1.1537836
1.321,1.1542137
1.322,1.1546413
1.323,1.1550663
1.324,1.1554887
1.325,1.1559086
1.326,1.1563259
1.327,1.1567407
1.3280001,1.1571529
1.329,1.1575625
1.33,1.1579696
1.331,1.1583742
1.332,1.1587762
1.333,1.1591756
1.334,1.1595725
1.335,1.1599668
1.336,1.1603585
1.337,1.1607478
1.338,1.1611344
1.339,1.1615185
1.34,1.1618999
1.341,1.1622789
1.342,1.1626554
1.3429999,1.1630292
1.344,1.1634005
1.345,1.1637692
1.346,1.1641355
1.347,1.164499
1.348,1.1648601
1.349,1.1652187
1.35,1.1655747
1.3510001,1.1659281
1.352,1.166279
1.3529999,1.1666273
1.354,1.166973
1.355,1.1673162
1.356,1.1676569
1.357,1.167995
1.358,1.1683306
1.359,1.1686635
1.36,1.168994
1.3610001,1.1693219
1.362,1.1696472
1.363,1.16997
1.364,1.1702902
1.365,1.1706079
1.3659999,1.1709231
1.367,1.1712357
1.368,1.1715457
1.369,1.1718532
1.37,1.1721581
1.371,1.1724606
1.372,1.1727604
1.373,1.1730577
1.3740001,1.1733525
1.375,1.1736447
1.3759999,1.1739343
